customer_id,customer_full_name,age,mobile,customer_type,referred_by_id,assigned_staff_id,created_at
1,Divya Mohan,76,2728278226,New,NULL,1,12-01-2026 19:35
2,Ishani Char,34,460808929,Referral,1,16,12-01-2026 19:35
3,Chatura Sane,21,4532179982,New,NULL,7,12-01-2026 19:35
4,Janya Varkey,42,1558966157,New,NULL,18,12-01-2026 19:35
5,Janaki Shanker,74,8429559827,Referral,3,15,12-01-2026 19:35
6,Ansh Baria,67,2729821446,New,NULL,14,12-01-2026 19:35
7,Fitan Mukherjee,23,6616702973,New,NULL,8,12-01-2026 19:35
8,Ekbal Shankar,72,8661273076,New,NULL,16,12-01-2026 19:35
9,Aarini Batta,62,6019525794,New,NULL,1,12-01-2026 19:35
10,Faras Patel,42,7607023580,New,NULL,1,12-01-2026 19:35
11,Riya Kota,45,2726503046,New,NULL,18,12-01-2026 19:35
12,Charita Mukherjee,42,2654141586,New,NULL,14,12-01-2026 19:35
13,George Balay,71,342760269,Referral,9,16,12-01-2026 19:35
14,Jai Amble,43,6981347271,New,NULL,17,12-01-2026 19:35
15,Charles Ramaswamy,41,3409859887,New,NULL,15,12-01-2026 19:35
16,Ijaya Rattan,53,1217453463,New,NULL,11,12-01-2026 19:35
17,Mohini Gaba,84,718994376,New,NULL,12,12-01-2026 19:35
18,Umang Bhakta,83,6544562079,New,NULL,18,12-01-2026 19:35
19,Udyati Sami,77,2951617640,New,NULL,14,12-01-2026 19:35
20,Nitara Nayar,31,9598132029,New,NULL,3,12-01-2026 19:35
21,Gaurika Mani,42,5924616143,New,NULL,3,12-01-2026 19:35
22,Manya Ravi,36,2744411575,New,NULL,11,12-01-2026 19:35
23,Brijesh Zachariah,80,2561786506,New,NULL,2,12-01-2026 19:35
24,Sudiksha Bedi,41,4104353864,New,NULL,12,12-01-2026 19:35
25,Chaitanya Bahri,69,5854727809,New,NULL,5,12-01-2026 19:35
26,Tristan Bhardwaj,76,6757551389,New,NULL,4,12-01-2026 19:35
27,Alka Gopal,73,8094678443,New,NULL,17,12-01-2026 19:35
28,Parth Dhaliwal,70,9195189525,New,NULL,2,12-01-2026 19:35
29,Hema Bakshi,79,7018412753,Referral,21,13,12-01-2026 19:35
30,Ishita Pandey,43,479561728,New,NULL,5,12-01-2026 19:35
31,Nidhi Iyengar,24,3799811159,New,NULL,12,12-01-2026 19:35
32,Dalaja Pathak,21,9493715709,New,NULL,8,12-01-2026 19:35
33,Amol Ram,48,2532294995,New,NULL,3,12-01-2026 19:35
34,Chatresh Mohanty,59,4337850397,New,NULL,1,12-01-2026 19:35
35,Harrison Dewan,51,3475536360,New,NULL,7,12-01-2026 19:35
36,Vincent Issac,48,7795412302,New,NULL,12,12-01-2026 19:35
37,Ekavir Bhandari,32,7273194301,New,NULL,6,12-01-2026 19:35
38,Brinda Goda,27,9181710403,New,NULL,20,12-01-2026 19:35
39,Zaid Nair,69,5349554143,New,NULL,7,12-01-2026 19:35
40,Saksham Balay,25,8123833112,Referral,33,2,12-01-2026 19:35
41,Bhavika Behl,40,3065468257,New,NULL,13,12-01-2026 19:35
42,Jairaj Magar,18,3306943508,Referral,9,10,12-01-2026 19:35
43,Pranav Munshi,68,1125971162,New,NULL,20,12-01-2026 19:35
44,Alka Koshy,39,9289823665,New,NULL,15,12-01-2026 19:35
45,Bahadurjit Kar,26,2037453574,New,NULL,11,12-01-2026 19:35
46,Nathan Grover,28,8458442164,New,NULL,2,12-01-2026 19:35
47,Avi Panchal,34,320683621,New,NULL,5,12-01-2026 19:35
48,Upma Kota,20,7596821144,New,NULL,15,12-01-2026 19:35
49,Chakradhar Ramanathan,74,2143985248,New,NULL,6,12-01-2026 19:35
50,Lakshit Deep,35,7703229609,New,NULL,4,12-01-2026 19:35
