staff_id,staff_full_name,designation,contact_number,hire_date
1,"Neel Varty","Sales Executive",7143839566,2023-01-01
2,"Anjali Amble","Sales Executive",7018307633,2023-01-01
3,"Luke Kata","Sales Executive",4149284240,2023-01-01
4,"Vinaya Lalla","Sales Executive",0949510340,2023-01-01
5,"Dhriti Mohan","Sales Executive",8423805293,2023-01-01
6,"Sai Keer","Sales Executive",7434427239,2023-01-01
7,"Robert Sawhney","Sales Executive",5894152583,2023-01-01
8,"Mohini Srinivasan","Sales Executive",2468802440,2023-01-01
9,"Neha Lalla","Sales Executive",6806732297,2023-01-01
10,"Neelima Sibal","Sales Executive",0814505402,2023-01-01
11,"Tara Swamy","Sales Executive",6645638259,2023-01-01
12,"Naksh Gandhi","Sales Executive",3950909991,2023-01-01
13,"Indali Keer","Sales Executive",4657344063,2023-01-01
14,"Gautam Choudhary","Sales Executive",8218313335,2023-01-01
15,"Netra Lal","Sales Executive",0398879037,2023-01-01
16,"Pratyush Kata","Sales Executive",3074963624,2023-01-01
17,"Anmol Gole","Sales Executive",0400994212,2023-01-01
18,"Owen Narayanan","Sales Executive",2713592711,2023-01-01
19,"Anita Vala","Sales Executive",7519523719,2023-01-01
20,"Utkarsh Hayre","Sales Executive",1873430336,2023-01-01
